line_number,title,label,speaker,gender,year,score,word
12944,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,situation
12944,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,daddy
12946,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,responsibilities
12948,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,major
12948,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,coolidge
12949,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,talkin
12949,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,son
12949,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,jim
12950,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,talkin
12951,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,somethin
12955,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,watch
12956,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,purchased
12956,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,granddaddy
12957,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,bought
12957,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,world
12958,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,war
12958,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,store
12959,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,knoxville
12959,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,tennessee
12959,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,bought
12960,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,private
12960,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,doughboy
12960,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,coolidge
12961,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,day
12961,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,set
12961,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,sail
12961,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,paris
12962,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,granddaddy's
12962,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,war
