line_number,title,script,label,speaker,gender
21300,Fight Club,"Jack turns, looking... Tyler's GONE.  Jack looks to the gun,",other,NO SPEAKER,NA
21301,Fight Club,"scrambles to his feet, running to pick up the gun...",other,NO SPEAKER,NA
21302,Fight Club,"Tyler KICKS Jack in the chest, sends Jack sprawling.",other,NO SPEAKER,NA
21303,Fight Club,"Jack rolls, holding his chest.  He looks up, sees Tyler run",other,NO SPEAKER,NA
21304,Fight Club,into the STAIRWELL.  Jack grabs the gun and follows...,other,NO SPEAKER,NA
21305,Fight Club,INT. STAIRWELL,other,NO SPEAKER,NA
21306,Fight Club,Jack smashes the door open.  The stairwell's empty.  Jack,other,NO SPEAKER,NA
21307,Fight Club,"RUNS up a flight of stairs, kicks open ANOTHER DOOR...",other,NO SPEAKER,NA
21308,Fight Club,INT. MAIN LOBBY,other,NO SPEAKER,NA
21309,Fight Club,"Jack steps forward, gun up... TWO INTERLOCKED HANDS SLAM",other,NO SPEAKER,NA
21310,Fight Club,down onto his head.  Jack drops to the floor.,other,NO SPEAKER,NA
21311,Fight Club,"Tyler backs away, laughing.  Jack gets to his feet, aims his",other,NO SPEAKER,NA
21312,Fight Club,gun...,other,NO SPEAKER,NA
21313,Fight Club,TYLER,character,NO SPEAKER,NA
21314,Fight Club,Fire at will.,speech,TYLER,male
21315,Fight Club,"Jack clenches his teeth, FIRING -- nothing happens to Tyler.",other,NO SPEAKER,NA
21316,Fight Club,Jack FIRES TWICE -- no effect.  Tyler raises his arms.,other,NO SPEAKER,NA
21317,Fight Club,TYLER,character,NO SPEAKER,NA
21318,Fight Club,What did you expect?,speech,TYLER,male
21319,Fight Club,"Jack charges.  Tyler dodges, PUNCHES, knocks the gun out of",other,NO SPEAKER,NA
21320,Fight Club,"Jack's hand.  They FIGHT, trading PUNCHES, grappling, taking",other,NO SPEAKER,NA
21321,Fight Club,each other to the floor...,other,NO SPEAKER,NA
21322,Fight Club,CUT TO:,other,NO SPEAKER,NA
21323,Fight Club,INT. SECURITY OFFICE - CONTINUOUS,other,NO SPEAKER,NA
21324,Fight Club,Banks of SECURITY MONITORS sit unmanned.,other,NO SPEAKER,NA
21325,Fight Club,"ON ONE MONITOR: Jack is seen in the lobby, on the floor,",other,NO SPEAKER,NA
21326,Fight Club,"alone, wrestling himself.  He swings his left hand up,",other,NO SPEAKER,NA
21327,Fight Club,"punching empty air, then swings his right hand -- PUNCHING",other,NO SPEAKER,NA
21328,Fight Club,himself in the side of the head...,other,NO SPEAKER,NA
21329,Fight Club,INT. MAIN LOBBY,other,NO SPEAKER,NA
21330,Fight Club,"Tyler and Jack fight viciously, bloodied.  Tyler manages to",other,NO SPEAKER,NA
