line_number,title,script,label,speaker,gender
1,The Shawshank Redemption,THE SHAWSHANK REDEMPTION,other,NO SPEAKER,NA
2,The Shawshank Redemption,by,other,NO SPEAKER,NA
3,The Shawshank Redemption,Frank Darabont,other,NO SPEAKER,NA
4,The Shawshank Redemption,Based upon the story,other,NO SPEAKER,NA
5,The Shawshank Redemption,Rita Hayworth and Shawshank Redemption,other,NO SPEAKER,NA
6,The Shawshank Redemption,by Stephen King,other,NO SPEAKER,NA
7,The Shawshank Redemption,1INT -- CABIN -- NIGHT (1946),other,NO SPEAKER,NA
8,The Shawshank Redemption,"A dark, empty room.",other,NO SPEAKER,NA
9,The Shawshank Redemption,"The door bursts open. A MAN and WOMAN enter, drunk and",other,NO SPEAKER,NA
10,The Shawshank Redemption,"giggling, horny as hell. No sooner is the door shut than",other,NO SPEAKER,NA
11,The Shawshank Redemption,"they're all over each other, ripping at clothes, pawing at",other,NO SPEAKER,NA
12,The Shawshank Redemption,"flesh, mouths locked together.",other,NO SPEAKER,NA
13,The Shawshank Redemption,"He gropes for a lamp, tries to turn it on, knocks it over",other,NO SPEAKER,NA
14,The Shawshank Redemption,"instead. Hell with it. He's got more urgent things to do, like",other,NO SPEAKER,NA
15,The Shawshank Redemption,getting her blouse open and his hands on her breasts. She,other,NO SPEAKER,NA
16,The Shawshank Redemption,"arches, moaning, fumbling with his fly. He slams her against",other,NO SPEAKER,NA
17,The Shawshank Redemption,"the wall, ripping her skirt. We hear fabric tear.",other,NO SPEAKER,NA
18,The Shawshank Redemption,"He enters her right then and there, roughly, up against the",other,NO SPEAKER,NA
19,The Shawshank Redemption,"wall. She cries out, hitting her head against the wall but not",other,NO SPEAKER,NA
20,The Shawshank Redemption,"caring, grinding against him, clawing his back, shivering with",other,NO SPEAKER,NA
21,The Shawshank Redemption,the sensations running through her. He carries her across the,other,NO SPEAKER,NA
22,The Shawshank Redemption,room with her legs wrapped around him. They fall onto the bed.,other,NO SPEAKER,NA
23,The Shawshank Redemption,"CAMERA PULLS BACK, exiting through the window, traveling",other,NO SPEAKER,NA
24,The Shawshank Redemption,smoothly outside...,other,NO SPEAKER,NA
25,The Shawshank Redemption,2EXT -- CABIN -- NIGHT (1946) 2,other,NO SPEAKER,NA
26,The Shawshank Redemption,"...to reveal the bungalow, remote in a wooded area, the",other,NO SPEAKER,NA
27,The Shawshank Redemption,lovers' cries spilling into the night...,other,NO SPEAKER,NA
28,The Shawshank Redemption,"...and we drift down a wooded path, the sounds of rutting",other,NO SPEAKER,NA
29,The Shawshank Redemption,"passion growing fainter, mingling now with the night sounds of",other,NO SPEAKER,NA
30,The Shawshank Redemption,crickets and hoot owls...,other,NO SPEAKER,NA
31,The Shawshank Redemption,"...and we begin to hear FAINT MUSIC in the woods, tinny and",other,NO SPEAKER,NA
32,The Shawshank Redemption,"incongruous, and still we keep PULLING BACK until...",other,NO SPEAKER,NA
33,The Shawshank Redemption,...a car is revealed. A 1946 Plymouth. Parked in a clearing.,other,NO SPEAKER,NA
34,The Shawshank Redemption,3INT -- PLYMOUTH -- NIGHT (1946) 3,other,NO SPEAKER,NA
35,The Shawshank Redemption,"ANDY DUFRESNE, mid-20's, wire rim glasses, three-piece suit.",other,NO SPEAKER,NA
36,The Shawshank Redemption,"Under normal circumstances a respectable, solid citizen; hardly",other,NO SPEAKER,NA
37,The Shawshank Redemption,"dangerous, perhaps even meek. But these circumstances are far",other,NO SPEAKER,NA
38,The Shawshank Redemption,"from normal. He is disheveled, unshaven, and very drunk. A",other,NO SPEAKER,NA
39,The Shawshank Redemption,"cigarette smolders in his mouth. His eyes, flinty and hard, are",other,NO SPEAKER,NA
40,The Shawshank Redemption,riveted to the bungalow up the path.,other,NO SPEAKER,NA
41,The Shawshank Redemption,He can hear them fucking from here.,other,NO SPEAKER,NA
42,The Shawshank Redemption,He raises a bottle of bourbon and knocks it back. The radio,other,NO SPEAKER,NA
43,The Shawshank Redemption,"plays softly, painfully romantic, taunting him:",other,NO SPEAKER,NA
44,The Shawshank Redemption,You stepped out of a dream...,other,NO SPEAKER,NA
45,The Shawshank Redemption,You are too wonderful...,other,NO SPEAKER,NA
46,The Shawshank Redemption,To be what you seem...,other,NO SPEAKER,NA
47,The Shawshank Redemption,"He opens the glove compartment, pulls out an object wrapped",other,NO SPEAKER,NA
48,The Shawshank Redemption,in a rag. He lays it in his lap and unwraps it carefully --,other,NO SPEAKER,NA
49,The Shawshank Redemption,"-- revealing a .38 revolver. Oily, black, evil.",other,NO SPEAKER,NA
50,The Shawshank Redemption,"He grabs a box of bullets. Spills them everywhere, all over",other,NO SPEAKER,NA
51,The Shawshank Redemption,"the seats and floor. Clumsy. He picks bullets off his lap,",other,NO SPEAKER,NA
52,The Shawshank Redemption,"loading them into the gun, one by one, methodical and grim.",other,NO SPEAKER,NA
53,The Shawshank Redemption,Six in the chamber. His gaze goes back to the bungalow.,other,NO SPEAKER,NA
54,The Shawshank Redemption,"He shuts off the radio. Abrupt silence, except for the distant",other,NO SPEAKER,NA
55,The Shawshank Redemption,"lovers' moans. He takes another shot of bourbon courage, then",other,NO SPEAKER,NA
56,The Shawshank Redemption,opens the door and steps from the car.,other,NO SPEAKER,NA
57,The Shawshank Redemption,4EXT -- PLYMOUTH -- NIGHT (1946) 4,other,NO SPEAKER,NA
58,The Shawshank Redemption,His wingtip shoes crunch on gravel. Loose bullets scatter to,other,NO SPEAKER,NA
59,The Shawshank Redemption,the ground. The bourbon bottle drops and shatters.,other,NO SPEAKER,NA
60,The Shawshank Redemption,"He starts up the path, unsteady on his feet. The closer he",other,NO SPEAKER,NA
61,The Shawshank Redemption,"gets, the louder the lovemaking becomes. Louder and more",other,NO SPEAKER,NA
62,The Shawshank Redemption,"frenzied. The lovers are reaching a climax, their sounds of",other,NO SPEAKER,NA
63,The Shawshank Redemption,passion degenerating into rhythmic gasps and grunts.,other,NO SPEAKER,NA
64,The Shawshank Redemption,WOMAN (O.S.),character,NO SPEAKER,NA
65,The Shawshank Redemption,Oh god...oh god...oh god...,speech,WOMAN,female
66,The Shawshank Redemption,"Andy lurches to a stop, listening. The woman cries out in",other,NO SPEAKER,NA
67,The Shawshank Redemption,orgasm. The sound slams into Andy's brain like an icepick. He,other,NO SPEAKER,NA
68,The Shawshank Redemption,"shuts his eyes tightly, wishing the sound would stop.",other,NO SPEAKER,NA
69,The Shawshank Redemption,"It finally does, dying away like a siren until all that's left",other,NO SPEAKER,NA
70,The Shawshank Redemption,is the shallow gasping and panting of post-coitus. We hear,other,NO SPEAKER,NA
71,The Shawshank Redemption,"languorous laughter, moans of satisfaction.",other,NO SPEAKER,NA
72,The Shawshank Redemption,WOMAN (O.S.),character,NO SPEAKER,NA
73,The Shawshank Redemption,Oh god...that's sooo good...you're,speech,WOMAN,female
74,The Shawshank Redemption,the best...the best I ever had...,speech,WOMAN,female
75,The Shawshank Redemption,"Andy just stands and listens, devastated. He doesn't look like",other,NO SPEAKER,NA
76,The Shawshank Redemption,much of a killer now; he's just a sad little man on a dirt,other,NO SPEAKER,NA
77,The Shawshank Redemption,"path in the woods, tears streaming down his face, a loaded gun",other,NO SPEAKER,NA
78,The Shawshank Redemption,"held loosely at his side. A pathetic figure, really.",other,NO SPEAKER,NA
79,The Shawshank Redemption,FADE TO BLACK: 1ST TITLE UP,other,NO SPEAKER,NA
80,The Shawshank Redemption,5INT -- COURTROOM -- DAY (1946) 5,other,NO SPEAKER,NA
81,The Shawshank Redemption,"THE JURY listens like a gallery of mannequins on display,",other,NO SPEAKER,NA
82,The Shawshank Redemption,pale-faced and stupefied.,other,NO SPEAKER,NA
83,The Shawshank Redemption,D.A. (O.S.),character,NO SPEAKER,NA
84,The Shawshank Redemption,"Mr. Dufresne, describe the",speech,D.A.,male
85,The Shawshank Redemption,confrontation you had with your,speech,D.A.,male
86,The Shawshank Redemption,wife the night she was murdered.,speech,D.A.,male
87,The Shawshank Redemption,ANDY DUFRESNE,other,NO SPEAKER,NA
88,The Shawshank Redemption,"is on the witness stand, hands folded, suit and tie pressed,",other,NO SPEAKER,NA
89,The Shawshank Redemption,"hair meticulously combed. He speaks in soft, measured tones:",other,NO SPEAKER,NA
90,The Shawshank Redemption,ANDY,character,NO SPEAKER,NA
91,The Shawshank Redemption,It was very bitter. She said she,speech,ANDY,male
92,The Shawshank Redemption,"was glad I knew, that she hated all",speech,ANDY,male
93,The Shawshank Redemption,the sneaking around. She said she,speech,ANDY,male
94,The Shawshank Redemption,wanted a divorce in Reno.,speech,ANDY,male
95,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
96,The Shawshank Redemption,What was your response?,speech,D.A.,male
97,The Shawshank Redemption,ANDY,character,NO SPEAKER,NA
98,The Shawshank Redemption,I told her I would not grant one.,speech,ANDY,male
99,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
100,The Shawshank Redemption,(refers to his notes),other,NO SPEAKER,NA
101,The Shawshank Redemption,I'll see you in Hell before I see,speech,D.A.,male
102,The Shawshank Redemption,you in Reno. Those were the words,speech,D.A.,male
103,The Shawshank Redemption,"you used, Mr. Dufresne, according",speech,D.A.,male
104,The Shawshank Redemption,to the testimony of your neighbors.,speech,D.A.,male
105,The Shawshank Redemption,ANDY,character,NO SPEAKER,NA
106,The Shawshank Redemption,If they say so. I really don't,speech,ANDY,male
107,The Shawshank Redemption,remember. I was upset.,speech,ANDY,male
108,The Shawshank Redemption,FADE TO BLACK: 2ND TITLE UP,other,NO SPEAKER,NA
109,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
110,The Shawshank Redemption,What happened after you and your,speech,D.A.,male
111,The Shawshank Redemption,wife argued?,speech,D.A.,male
112,The Shawshank Redemption,ANDY,character,NO SPEAKER,NA
113,The Shawshank Redemption,She packed a bag and went to stay,speech,ANDY,male
114,The Shawshank Redemption,with Mr. Quentin.,speech,ANDY,male
115,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
116,The Shawshank Redemption,Glenn Quentin. The golf pro at the,speech,D.A.,male
117,The Shawshank Redemption,Falmouth Hills Country Club. The,speech,D.A.,male
118,The Shawshank Redemption,man you had recently discovered was,speech,D.A.,male
119,The Shawshank Redemption,her lover.,speech,D.A.,male
120,The Shawshank Redemption,(Andy nods),other,NO SPEAKER,NA
121,The Shawshank Redemption,Did you follow her?,speech,D.A.,male
122,The Shawshank Redemption,ANDY,character,NO SPEAKER,NA
123,The Shawshank Redemption,"I went to a few bars first. Later,",speech,ANDY,male
124,The Shawshank Redemption,I decided to drive to Mr. Quentin's,speech,ANDY,male
125,The Shawshank Redemption,home and confront them. They,speech,ANDY,male
126,The Shawshank Redemption,weren't there...so I parked my car,speech,ANDY,male
127,The Shawshank Redemption,in the turnout...and waited.,speech,ANDY,male
128,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
129,The Shawshank Redemption,With what intention?,speech,D.A.,male
130,The Shawshank Redemption,ANDY,character,NO SPEAKER,NA
131,The Shawshank Redemption,I'm not sure. I was confused. Drunk.,speech,ANDY,male
132,The Shawshank Redemption,I think mostly I wanted to scare them.,speech,ANDY,male
133,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
134,The Shawshank Redemption,You had a gun with you?,speech,D.A.,male
135,The Shawshank Redemption,ANDY,character,NO SPEAKER,NA
136,The Shawshank Redemption,Yes. I did.,speech,ANDY,male
137,The Shawshank Redemption,FADE TO BLACK: 3RD TITLE UP,other,NO SPEAKER,NA
138,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
139,The Shawshank Redemption,"When they arrived, you went up",speech,D.A.,male
140,The Shawshank Redemption,to the house and murdered them?,speech,D.A.,male
141,The Shawshank Redemption,ANDY,character,NO SPEAKER,NA
142,The Shawshank Redemption,No. I was sobering up. I realized,speech,ANDY,male
143,The Shawshank Redemption,she wasn't worth it. I decided to,speech,ANDY,male
144,The Shawshank Redemption,let her have her quickie divorce.,speech,ANDY,male
145,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
146,The Shawshank Redemption,Quickie divorce indeed. A .38,speech,D.A.,male
147,The Shawshank Redemption,"caliber divorce, wrapped in a",speech,D.A.,male
148,The Shawshank Redemption,"handtowel to muffle the shots,",speech,D.A.,male
149,The Shawshank Redemption,isn't that what you mean? And then,speech,D.A.,male
150,The Shawshank Redemption,you shot her lover!,speech,D.A.,male
151,The Shawshank Redemption,ANDY,character,NO SPEAKER,NA
152,The Shawshank Redemption,I did not. I got back in the car,speech,ANDY,male
153,The Shawshank Redemption,and drove home to sleep it off.,speech,ANDY,male
154,The Shawshank Redemption,"Along the way, I stopped and threw",speech,ANDY,male
155,The Shawshank Redemption,my gun into the Royal River. I feel,speech,ANDY,male
156,The Shawshank Redemption,I've been very clear on this point.,speech,ANDY,male
157,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
158,The Shawshank Redemption,"Yes, you have. Where I get hazy,",speech,D.A.,male
159,The Shawshank Redemption,"though, is the part where the",speech,D.A.,male
160,The Shawshank Redemption,cleaning woman shows up the next,speech,D.A.,male
161,The Shawshank Redemption,morning and finds your wife and her,speech,D.A.,male
162,The Shawshank Redemption,"lover in bed, riddled with .38",speech,D.A.,male
163,The Shawshank Redemption,caliber bullets. Does that strike,speech,D.A.,male
164,The Shawshank Redemption,"you as a fantastic coincidence, Mr.",speech,D.A.,male
165,The Shawshank Redemption,"Dufresne, or is it just me?",speech,D.A.,male
166,The Shawshank Redemption,ANDY,character,NO SPEAKER,NA
167,The Shawshank Redemption,(softly),other,NO SPEAKER,NA
168,The Shawshank Redemption,Yes. It does.,speech,ANDY,male
169,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
170,The Shawshank Redemption,"I'm sorry, Mr. Dufresne, I don't",speech,D.A.,male
171,The Shawshank Redemption,think the jury heard that.,speech,D.A.,male
172,The Shawshank Redemption,ANDY,character,NO SPEAKER,NA
173,The Shawshank Redemption,Yes. It does.,speech,ANDY,male
174,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
175,The Shawshank Redemption,Does what?,speech,D.A.,male
176,The Shawshank Redemption,ANDY,character,NO SPEAKER,NA
177,The Shawshank Redemption,Strike me as a fantastic coincidence.,speech,ANDY,male
178,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
179,The Shawshank Redemption,"On that, sir, we are in accord...",speech,D.A.,male
180,The Shawshank Redemption,FADE TO BLACK! 4TH TITLE UP,other,NO SPEAKER,NA
181,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
182,The Shawshank Redemption,You claim you threw your gun into,speech,D.A.,male
183,The Shawshank Redemption,the Royal River before the murders,speech,D.A.,male
184,The Shawshank Redemption,took place. That's rather convenient.,speech,D.A.,male
185,The Shawshank Redemption,ANDY,character,NO SPEAKER,NA
186,The Shawshank Redemption,It's the truth.,speech,ANDY,male
187,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
188,The Shawshank Redemption,You recall Lt. Mincher's testimony?,speech,D.A.,male
189,The Shawshank Redemption,He and his men dragged that river,speech,D.A.,male
190,The Shawshank Redemption,for three days and nary a gun was,speech,D.A.,male
191,The Shawshank Redemption,found. So no comparison can be made,speech,D.A.,male
192,The Shawshank Redemption,between your gun and the bullets,speech,D.A.,male
193,The Shawshank Redemption,taken from the bloodstained corpses,speech,D.A.,male
194,The Shawshank Redemption,of the victims. That's also rather,speech,D.A.,male
195,The Shawshank Redemption,"convenient, isn't it, Mr. Dufresne?",speech,D.A.,male
196,The Shawshank Redemption,ANDY,character,NO SPEAKER,NA
197,The Shawshank Redemption,"(faint, bitter smile)",other,NO SPEAKER,NA
198,The Shawshank Redemption,"Since I am innocent of this crime,",speech,ANDY,male
199,The Shawshank Redemption,"sir, I find it decidedly inconvenient",speech,ANDY,male
200,The Shawshank Redemption,the gun was never found.,speech,ANDY,male
201,The Shawshank Redemption,FADE TO BLACK: STH TITLE UP,other,NO SPEAKER,NA
202,The Shawshank Redemption,6INT -- COURTROOM -- DAY (1946) 6,other,NO SPEAKER,NA
203,The Shawshank Redemption,The D.A. holds the jury spellbound with his closing summation:,other,NO SPEAKER,NA
204,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
205,The Shawshank Redemption,"Ladies and gentlemen, you've heard",speech,D.A.,male
206,The Shawshank Redemption,"all the evidence, you know all the",speech,D.A.,male
207,The Shawshank Redemption,facts. We have the accused at the,speech,D.A.,male
208,The Shawshank Redemption,scene of the crime. We have foot,speech,D.A.,male
209,The Shawshank Redemption,prints. Tire tracks. Bullets,speech,D.A.,male
210,The Shawshank Redemption,scattered on the ground which bear,speech,D.A.,male
211,The Shawshank Redemption,his fingerprints. A broken bourbon,speech,D.A.,male
212,The Shawshank Redemption,"bottle, likewise with fingerprints.",speech,D.A.,male
213,The Shawshank Redemption,"Most of all, we have a beautiful",speech,D.A.,male
214,The Shawshank Redemption,young woman and her lover lying,speech,D.A.,male
215,The Shawshank Redemption,dead in each other's arms. They had,speech,D.A.,male
216,The Shawshank Redemption,sinned. But was their crime so,speech,D.A.,male
217,The Shawshank Redemption,great as to merit a death sentence?,speech,D.A.,male
218,The Shawshank Redemption,He gestures to Andy sitting quietly with his ATTORNEY.,other,NO SPEAKER,NA
219,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
220,The Shawshank Redemption,I suspect Mr. Dufresne's answer to,speech,D.A.,male
221,The Shawshank Redemption,that would be yes. I further,speech,D.A.,male
222,The Shawshank Redemption,suspect he carried out that,speech,D.A.,male
223,The Shawshank Redemption,sentence on the night of September,speech,D.A.,male
224,The Shawshank Redemption,"21st, this year of our Lord, 1946,",speech,D.A.,male
225,The Shawshank Redemption,by pumping four bullets into his,speech,D.A.,male
226,The Shawshank Redemption,wife and another four into Glenn,speech,D.A.,male
227,The Shawshank Redemption,Quentin. And while you think about,speech,D.A.,male
228,The Shawshank Redemption,"that, think about this...",speech,D.A.,male
229,The Shawshank Redemption,"He picks up a revolver, spins the cylinder before their eyes",other,NO SPEAKER,NA
230,The Shawshank Redemption,like a carnival barker spinning a wheel of fortune.,other,NO SPEAKER,NA
231,The Shawshank Redemption,D.A.,character,NO SPEAKER,NA
232,The Shawshank Redemption,"A revolver holds six bullets, not",speech,D.A.,male
233,The Shawshank Redemption,eight. I submit to you this was not,speech,D.A.,male
234,The Shawshank Redemption,a hot-blooded crime of passion!,speech,D.A.,male
235,The Shawshank Redemption,"That could at least be understood,",speech,D.A.,male
236,The Shawshank Redemption,"if not condoned. No, this was",speech,D.A.,male
237,The Shawshank Redemption,revenge of a much more brutal and,speech,D.A.,male
238,The Shawshank Redemption,cold-blooded nature. Consider! Four,speech,D.A.,male
239,The Shawshank Redemption,bullets per victim! Not six shots,speech,D.A.,male
240,The Shawshank Redemption,"fired, but eight! That means he",speech,D.A.,male
241,The Shawshank Redemption,fired the gun empty...and then,speech,D.A.,male
242,The Shawshank Redemption,stopped to reload so he could shoot,speech,D.A.,male
243,The Shawshank Redemption,each of them again! An extra bullet,speech,D.A.,male
244,The Shawshank Redemption,per lover...right in the head.,speech,D.A.,male
245,The Shawshank Redemption,(a few JURORS shiver),other,NO SPEAKER,NA
246,The Shawshank Redemption,I'm done talking. You people are,speech,D.A.,male
247,The Shawshank Redemption,"all decent, God-fearing Christian",speech,D.A.,male
248,The Shawshank Redemption,folk. You know what to do.,speech,D.A.,male
249,The Shawshank Redemption,FADE TO BLACK: 6TH TITLE UP,other,NO SPEAKER,NA
250,The Shawshank Redemption,7INT -- JURY ROOM -- DAY (1946) 7,other,NO SPEAKER,NA
251,The Shawshank Redemption,"CAMERA TRACKS down a long table, moving from one JUROR to the",other,NO SPEAKER,NA
252,The Shawshank Redemption,"next. These decent, God-fearing Christians are chowing down on",other,NO SPEAKER,NA
253,The Shawshank Redemption,"a nice fried chicken dinner provided them by the county,",other,NO SPEAKER,NA
254,The Shawshank Redemption,smacking greasy lips and gnawing cobbettes of corn.,other,NO SPEAKER,NA
255,The Shawshank Redemption,VOICE (O.S.),character,NO SPEAKER,NA
256,The Shawshank Redemption,Guilty. Guilty. Guilty. Guilty...,speech,VOICE,unclear
257,The Shawshank Redemption,"We find the FOREMAN at the head of the table, sorting votes.",other,NO SPEAKER,NA
258,The Shawshank Redemption,FADE TO BLACK: 7TH TITLE UP,other,NO SPEAKER,NA
259,The Shawshank Redemption,8INT -- COURTROOM -- DAY (1946) 8,other,NO SPEAKER,NA
260,The Shawshank Redemption,"Andy stands before the dias. THE JUDGE peers down, framed by a",other,NO SPEAKER,NA
261,The Shawshank Redemption,carved frieze of blind Lady Justice on the wall.,other,NO SPEAKER,NA
262,The Shawshank Redemption,JUDGE,character,NO SPEAKER,NA
263,The Shawshank Redemption,You strike me as a particularly icy,speech,JUDGE,male
264,The Shawshank Redemption,"and remorseless man, Mr. Dufresne.",speech,JUDGE,male
265,The Shawshank Redemption,It chills my blood just to look at,speech,JUDGE,male
266,The Shawshank Redemption,you. By the power vested in me by,speech,JUDGE,male
267,The Shawshank Redemption,"the State of Maine, I hereby order",speech,JUDGE,male
268,The Shawshank Redemption,"you to serve two life sentences,",speech,JUDGE,male
269,The Shawshank Redemption,"back to back, one for each of your",speech,JUDGE,male
270,The Shawshank Redemption,victims. So be it.,speech,JUDGE,male
271,The Shawshank Redemption,He raps his gavel as we,other,NO SPEAKER,NA
272,The Shawshank Redemption,CRASH TO BLACK: LAST TITLE UP.,other,NO SPEAKER,NA
273,The Shawshank Redemption,9 AN IRON-BARRED DOOR 9,other,NO SPEAKER,NA
274,The Shawshank Redemption,slides open with an enormous CLANG. A stark room waits beyond.,other,NO SPEAKER,NA
275,The Shawshank Redemption,CAMERA PUSHES through. SEVEN HUMORLESS MEN sit side by side at,other,NO SPEAKER,NA
276,The Shawshank Redemption,a long table. An empty chair faces them. We are now in:,other,NO SPEAKER,NA
277,The Shawshank Redemption,INT -- SHAWSHANK HEARINGS ROOM -- DAY (1947),other,NO SPEAKER,NA
278,The Shawshank Redemption,"RED enters, removes his cap and waits by the chair.",other,NO SPEAKER,NA
279,The Shawshank Redemption,MAN #1,character,NO SPEAKER,NA
280,The Shawshank Redemption,Sit.,speech,MAN #1,male
281,The Shawshank Redemption,"Red sits, tries not to slouch. The chair is uncomfortable.",other,NO SPEAKER,NA
282,The Shawshank Redemption,MAN #2,character,NO SPEAKER,NA
283,The Shawshank Redemption,We see by your file you've served,speech,MAN #2,male
284,The Shawshank Redemption,twenty years of a life sentence.,speech,MAN #2,male
285,The Shawshank Redemption,MAN #3,character,NO SPEAKER,NA
286,The Shawshank Redemption,You feel you've been rehabilitated?,speech,MAN #3,male
287,The Shawshank Redemption,RED,character,NO SPEAKER,NA
288,The Shawshank Redemption,"Yes, sir. Absolutely. I've learned",speech,RED,male
289,The Shawshank Redemption,my lesson. I can honestly say I'm a,speech,RED,male
290,The Shawshank Redemption,changed man. I'm no longer a danger,speech,RED,male
291,The Shawshank Redemption,to society. That's the God's honest,speech,RED,male
292,The Shawshank Redemption,truth. No doubt about it.,speech,RED,male
293,The Shawshank Redemption,The men just stare at him. One stifles a yawn.,other,NO SPEAKER,NA
294,The Shawshank Redemption,CLOSEUP -- PAROLE FORM,other,NO SPEAKER,NA
295,The Shawshank Redemption,"A big rubber stamp slams down: """"REJECTED"""" in red ink.",other,NO SPEAKER,NA
296,The Shawshank Redemption,10EXT -- EXERCISE YARD -- SHAWSHANK PRISON -- DUSK (1947) 10,other,NO SPEAKER,NA
297,The Shawshank Redemption,"High stone walls topped with snaky concertina wire, set off at",other,NO SPEAKER,NA
298,The Shawshank Redemption,intervals by looming guard towers. Over a hundred CONS are,other,NO SPEAKER,NA
299,The Shawshank Redemption,"in the yard. Playing catch, shooting craps, jawing at each",other,NO SPEAKER,NA
300,The Shawshank Redemption,"other, making deals. Exercise period.",other,NO SPEAKER,NA
301,The Shawshank Redemption,"RED emerges into fading daylight, slouches low-key through the",other,NO SPEAKER,NA
302,The Shawshank Redemption,"activity, worn cap on his head, exchanging hellos and doing",other,NO SPEAKER,NA
303,The Shawshank Redemption,minor business. He's an important man here.,other,NO SPEAKER,NA
304,The Shawshank Redemption,RED (V.O.),character,NO SPEAKER,NA
305,The Shawshank Redemption,There's a con like me in every prison,speech,RED,male
306,The Shawshank Redemption,"in America, I guess. I'm the guy who",speech,RED,male
307,The Shawshank Redemption,"can get it for you. Cigarettes, a",speech,RED,male
308,The Shawshank Redemption,"bag of reefer if you're partial, a",speech,RED,male
309,The Shawshank Redemption,bottle of brandy to celebrate your,speech,RED,male
310,The Shawshank Redemption,kid's high school graduation. Damn,speech,RED,male
311,The Shawshank Redemption,"near anything, within reason.",speech,RED,male
312,The Shawshank Redemption,"He slips somebody a pack of smokes, smooth sleight-of-hand.",other,NO SPEAKER,NA
313,The Shawshank Redemption,RED (V.O.),character,NO SPEAKER,NA
314,The Shawshank Redemption,"Yes sir, I'm a regular Sears &",speech,RED,male
315,The Shawshank Redemption,Roebuck.,speech,RED,male
316,The Shawshank Redemption,"TWO SHORT SIREN BLASTS issue from the main tower, drawing",other,NO SPEAKER,NA
317,The Shawshank Redemption,everybody's attention to the loading dock. The outer gate,other,NO SPEAKER,NA
318,The Shawshank Redemption,swings open...revealing a gray prison bus outside.,other,NO SPEAKER,NA
319,The Shawshank Redemption,RED (V.O.),character,NO SPEAKER,NA
320,The Shawshank Redemption,So when Andy Dufresne came to me in,speech,RED,male
321,The Shawshank Redemption,1949 and asked me to smuggle Rita,speech,RED,male
322,The Shawshank Redemption,"Hayworth into the prison for him, I",speech,RED,male
323,The Shawshank Redemption,told him no problem. And it wasn't.,speech,RED,male
324,The Shawshank Redemption,CON,character,NO SPEAKER,NA
325,The Shawshank Redemption,Fresh fish! Fresh fish today!,speech,CON,male
326,The Shawshank Redemption,"Red is joined by HEYWOOD, SKEET, FLOYD, JIGGER, ERNIE, SNOOZE.",other,NO SPEAKER,NA
327,The Shawshank Redemption,"Most cons crowd to the fence to gawk and jeer, but Red and his",other,NO SPEAKER,NA
328,The Shawshank Redemption,group mount the bleachers and settle in comfortably.,other,NO SPEAKER,NA
329,The Shawshank Redemption,11INT -- PRISON BUS -- DUSK (1947) 11,other,NO SPEAKER,NA
330,The Shawshank Redemption,"Andy sits in back, wearing steel collar and chains.",other,NO SPEAKER,NA
331,The Shawshank Redemption,RED (V.O.),character,NO SPEAKER,NA
332,The Shawshank Redemption,Andy came to Shawshank Prison in,speech,RED,male
333,The Shawshank Redemption,early 1947 for murdering his wife,speech,RED,male
334,The Shawshank Redemption,and the fella she was bangin'.,speech,RED,male
335,The Shawshank Redemption,"The bus lurches forward, RUMBLES through the gates. Andy gazes",other,NO SPEAKER,NA
336,The Shawshank Redemption,"around, swallowed by prison walls.",other,NO SPEAKER,NA
337,The Shawshank Redemption,RED (V.O.),character,NO SPEAKER,NA
338,The Shawshank Redemption,"On the outside, he'd been vice-",speech,RED,male
339,The Shawshank Redemption,president of a large Portland bank.,speech,RED,male
340,The Shawshank Redemption,Good work for a man as young as he,speech,RED,male
341,The Shawshank Redemption,"was, when you consider how",speech,RED,male
342,The Shawshank Redemption,conservative banks were back then.,speech,RED,male
343,The Shawshank Redemption,TOWER GUARD,character,NO SPEAKER,NA
344,The Shawshank Redemption,All clear!,speech,TOWER GUARD,male
345,The Shawshank Redemption,GUARDS approach the bus with carbines. The door jerks open.,other,NO SPEAKER,NA
346,The Shawshank Redemption,"The new fish disembark, chained together single-file, blinking",other,NO SPEAKER,NA
347,The Shawshank Redemption,sourly at their surroundings. Andy stumbles against the MAN in,other,NO SPEAKER,NA
348,The Shawshank Redemption,"front of him, almost drags him down.",other,NO SPEAKER,NA
349,The Shawshank Redemption,"BYRON HADLEY, captain of the guard, slams his baton into",other,NO SPEAKER,NA
350,The Shawshank Redemption,"Andy's back. Andy goes to his knees, gasping in pain. JEERS",other,NO SPEAKER,NA
